,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,2800.HK,2828.HK,3032.HK,3033.HK,3067.HK,7200.HK,7226.HK,7500.HK,^HSCE,^HSI,2800.HK,2828.HK,3032.HK,3033.HK,3067.HK,7200.HK,7226.HK,7500.HK,^HSCE,^HSI,2800.HK,2828.HK,3032.HK,3033.HK,3067.HK,7200.HK,7226.HK,7500.HK,^HSCE,^HSI,2800.HK,2828.HK,3032.HK,3033.HK,3067.HK,7200.HK,7226.HK,7500.HK,^HSCE,^HSI,2800.HK,2828.HK,3032.HK,3033.HK,3067.HK,7200.HK,7226.HK,7500.HK,^HSCE,^HSI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-23,20.899999618530273,108.0,,,,,,,10810.48046875,20624.390625,21.25,110.5,,,,,,,11017.259765625,20970.9609375,20.850000381469727,107.9000015258789,,,,,,,10800.099609375,20624.390625,21.25,110.5,,,,,,,11017.259765625,20970.9609375,9593230,777993,,,,,,,0.0,1192054100.0
2012-04-24,20.950000762939453,107.80000305175781,,,,,,,10817.16015625,20677.16015625,21.049999237060547,109.30000305175781,,,,,,,10932.7001953125,20771.7890625,20.75,107.30000305175781,,,,,,,10738.259765625,20534.130859375,20.899999618530273,107.80000305175781,,,,,,,10816.1904296875,20606.169921875,13568826,2909428,,,,,,,0.0,1280554500.0
2012-04-25,20.950000762939453,107.9000015258789,,,,,,,10812.7900390625,20646.2890625,21.049999237060547,108.5,,,,,,,10863.240234375,20751.8203125,20.799999237060547,107.5,,,,,,,10768.669921875,20584.98046875,20.950000762939453,108.0,,,,,,,10855.3203125,20751.5390625,12433355,1497157,,,,,,,0.0,1060608800.0
2012-04-26,21.100000381469727,109.0999984741211,,,,,,,10911.5498046875,20809.7109375,21.149999618530273,109.19999694824219,,,,,,,10934.919921875,20826.91015625,20.899999618530273,108.0,,,,,,,10817.8203125,20674.939453125,21.049999237060547,108.19999694824219,,,,,,,10880.8798828125,20753.1796875,9658639,1189202,,,,,,,0.0,1113077800.0
2012-04-27,20.899999618530273,109.0,,,,,,,10905.099609375,20741.44921875,21.100000381469727,110.0,,,,,,,11002.3095703125,20929.9609375,20.700000762939453,108.30000305175781,,,,,,,10848.759765625,20648.76953125,21.100000381469727,110.0,,,,,,,11001.8603515625,20916.080078125,10514670,2075446,,,,,,,0.0,1549824700.0
2012-04-30,21.25,110.5,,,,,,,11081.0,21094.2109375,21.299999237060547,111.0,,,,,,,11096.3896484375,21105.5703125,21.0,109.19999694824219,,,,,,,10968.990234375,20889.76953125,21.0,109.19999694824219,,,,,,,10968.990234375,20889.76953125,7613603,1327340,,,,,,,0.0,1353087200.0
2012-05-02,21.5,111.4000015258789,,,,,,,11145.9599609375,21309.080078125,21.549999237060547,112.19999694824219,,,,,,,11223.3798828125,21385.30078125,21.350000381469727,111.0999984741211,,,,,,,11116.8896484375,21237.169921875,21.350000381469727,111.19999694824219,,,,,,,11141.0,21245.48046875,14994657,1237932,,,,,,,0.0,1550182600.0
2012-05-03,21.399999618530273,109.5999984741211,,,,,,,10987.0595703125,21249.529296875,21.399999618530273,110.0,,,,,,,11013.919921875,21256.810546875,21.299999237060547,108.9000015258789,,,,,,,10925.9404296875,21153.630859375,21.399999618530273,110.0,,,,,,,11010.5302734375,21209.439453125,7817614,2050209,,,,,,,0.0,7112369600.0
